online_order,book_table,location,approx_cost,category,city,status,stacked_cuisines,stacked_rest_type
Yes,No,Jayanagar,150.0,Desserts,Basavanagudi,1,Desserts,Dessert Parlor
Yes,No,Jayanagar,750.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
Yes,Yes,Sarjapur Road,1200.0,Drinks & nightlife,Bellandur,1,American,Pub
Yes,Yes,Sarjapur Road,1300.0,Dine-out,Bellandur,1,Chinese,Pub
Yes,Yes,Ulsoor,1200.0,Dine-out,Brigade Road,1,Italian,Casual Dining
Yes,No,Richmond Road,850.0,Delivery,Brigade Road,1,Thai,Casual Dining
Yes,Yes,Shivajinagar,1300.0,Buffet,Brigade Road,1,North Indian,Bar
Yes,Yes,Bellandur,1800.0,Dine-out,Bellandur,1,Burger,Bar
Yes,No,Bannerghatta Road,700.0,Dine-out,Bannerghatta Road,1,Chinese,Casual Dining
No,Yes,Jayanagar,550.0,Dine-out,Basavanagudi,0,Pizza,Casual Dining
Yes,Yes,Marathahalli,1500.0,Drinks & nightlife,Bellandur,1,Japanese,Bar
Yes,No,Sarjapur Road,800.0,Dine-out,Bellandur,1,Thai,Casual Dining
Yes,No,Banashankari,750.0,Delivery,Banashankari,1,Chinese,Casual Dining
Yes,Yes,MG Road,1700.0,Delivery,Brigade Road,1,Cafe,Cafe
No,No,Banashankari,1200.0,Delivery,Banashankari,1,Italian,Pub
No,Yes,Sarjapur Road,2000.0,Dine-out,Bellandur,1,Malaysian,Fine Dining
No,No,Residency Road,400.0,Delivery,Brigade Road,1,Ice Cream,Dessert Parlor
Yes,No,HSR,150.0,Delivery,Bellandur,0,Street Food,Quick Bites
Yes,No,Jayanagar,600.0,Delivery,Basavanagudi,1,Beverages,Beverage Shop
No,Yes,Sarjapur Road,1500.0,Pubs and bars,Bellandur,1,European,Casual Dining
Yes,No,Jayanagar,400.0,Delivery,Basavanagudi,0,Fast Food,Dessert Parlor
Yes,Yes,Bellandur,1200.0,Dine-out,Bellandur,1,North Indian,Casual Dining
No,No,Church Street,800.0,Dine-out,Brigade Road,1,North Eastern,Casual Dining
